id;nombre;especialidad;telefono;turno;activo
1;oof provided cashier;toX;win attentive c;ack excepting officiate;false
2;tall off throughout;skean miss;zowie until fol;remark woot sedately;false
3;versify;rapidly buggy;squintXXXX;assumption athwart;false
4;failing temptress;simvastatin burdensome;caffeine loftil;hm warmly yurt;true
5;because effect;once;uh-huh consider;stepmother;false
6;and but whereas;molder;jovially penici;hairy;true
7;while;wherever um upliftingly;aboardXXXX;phew pish ack;false
8;less at pottery;official despite;sentimental bah;spectrum bashfully prefix;true
9;reactant;tolerate;minor-league;menace if tally;false
10;obnoxiously;salsa zowie that;major lemon;tenderly safely;false
