id;curp;nombre;fecha_nacimiento;sexo;numero_seguro_social
1;bleakly the levere;exculpate ouch;2026-02-26;nor gadzooks;worthXXX
2;ignorantXXXXXXXXXX;retention;2026-02-26;corsage lest;measles gosh
3;because max allowa;along cater slice;2026-02-26;yet balcony;atheist unwritten
4;waltz willfullyXXX;consequently;2026-02-26;dip psst;chard fitting
5;for whichXXXXXXXXX;sigh;2026-02-26;reload warmly bossy;wootXXXX
6;hm nicelyXXXXXXXXX;but;2026-02-26;never;annually
7;traditionXXXXXXXXX;competence;2026-02-26;ha throughout gah;drizzleX
8;pillow hmXXXXXXXXX;herd an;2026-02-26;across redial offici;apropos if cultivate
9;haunting housingXX;utterly ha punctually;2026-02-26;thief;but boastfully bashf
10;yahoo naturallyXXX;alongside fiercely;2026-02-26;oof if tightly;for gosh support
